mode,scope,group,metric,stock_days,codes,days,nxt_mean,krx_mean,delta_mean,delta_median,delta_q25,delta_q75,nxt_lower_pct,nxt_stock_median,krx_stock_median,cluster_se,ci95_low,ci95_high,p_value,cluster_df
resume5,common_minutes,1_low,quoted_spread_bp,17672,215,84,56.85491387690778,33.799277603952525,23.055636272955255,16.750730534629103,8.08538651469991,30.225078122280323,4.894748755092802,49.212477578849885,30.52641182115765,1.361180011630237,20.348303976244352,25.762968569666157,1.151556979162968e-28,83
resume5,common_minutes,1_low,depth_krw,17672,215,84,2673686.552410813,16528184.501856972,-13854497.949446158,-301922.8392184683,-1195560.219500042,247972.52396685042,64.12969669533726,1659080.025089562,2102284.443658676,9646356.74074854,-33040713.532016568,5331717.633124253,0.15469213567466117,83
resume5,common_minutes,2_mid,es_bp,17608,214,84,36.18026467419495,23.390493187611654,12.7897714865833,10.20764594446109,5.1855358173473505,17.598700926351032,4.435483870967742,33.670555623531456,22.636141054654516,0.6244029740711671,11.547859084533993,14.031683888632607,3.32408796336086e-34,83
resume5,common_minutes,2_mid,es_bp_v2,17608,214,84,35.307692728235324,24.93787903745122,10.369813690784106,7.892760845108022,2.823036036241681,15.394443708398821,12.34098137210359,32.07679115767885,23.796271966815276,0.6281349843191036,9.120478470452452,11.61914891111576,5.983662285568382e-28,83
resume5,common_minutes,2_mid,rs15_bp,17608,214,84,17.555193691476312,0.2951653691910088,17.260028322285297,14.869297944182039,7.2235729478551916,24.88272816934215,7.388686960472512,16.12007965441307,0.3127384965017559,0.7771698442343857,15.714268759738108,18.805787884832487,1.1245128022897725e-36,83
resume5,common_minutes,2_mid,rs60_bp,17608,214,84,5.634673332579923,-3.013674004767576,8.648347337347499,6.825798672120769,-0.7919964543976921,16.833477551432136,27.356883234893232,4.924963975023122,-2.628524662911169,0.6929611857657966,7.27007540963684,10.026619265058157,9.720838066530513e-21,83
resume5,common_minutes,2_mid,rs300_bp,17608,214,84,-6.272493353048405,-4.9028155091125045,-1.3696778439358999,-1.001925613858742,-12.278558673001097,9.723979889802983,52.48182644252613,-5.408382067499646,-3.9230816226044274,0.5263831137828037,-2.4166326862132625,-0.3227230016585372,0.010971954224898654,83
resume5,common_minutes,2_mid,pi15_bp,17608,214,84,18.6135354901122,23.066373138929904,-4.452837648817702,-4.210551204354278,-9.342051193310702,0.45279120031417897,73.15424806905952,16.762565396742474,21.799681863459305,0.2834105556399723,-5.016529845262703,-3.8891454523727025,1.3604198062309372e-26,83
resume5,common_minutes,2_mid,pi60_bp,17608,214,84,30.519807882068953,26.32680600210205,4.193001879966906,3.1532754452927687,-3.1700484055158773,10.634482398859527,37.0910949568378,28.35652099219108,24.842953498701192,0.3788209077156652,3.439542330631001,4.946461429302811,5.116030978415388e-18,83
resume5,common_minutes,2_mid,pi300_bp,17608,214,84,42.467576421649056,28.161481707690076,14.306094713958979,12.109675336101677,1.6612196585596082,24.873468435949817,21.507269422989552,40.376775955732725,26.19802756108104,0.5987370236917879,13.115230854934229,15.49695857298373,5.854490336177049e-39,83
resume5,common_minutes,2_mid,quoted_spread_bp,17608,214,84,38.25368861588807,26.013551990674614,12.240136625213461,9.668351697949772,4.750448280139168,16.77368672873279,3.646069968196274,35.62280914909336,25.056637646138686,0.7215640912203054,10.804974668957632,13.67529858146929,1.0454383864522475e-28,83
resume5,common_minutes,2_mid,depth_krw,17608,214,84,4938369.305001818,7266982.487506262,-2328613.1825044444,-793492.9643158792,-2480305.00331044,41461.39943281864,73.52907769195821,3342329.423452424,4293044.534245869,345065.7431444195,-3014935.067134948,-1642291.2978739408,1.8803026128223358e-09,83
